Robox Software Translations																													
	English	Simplified Chinese	Traditional Chinese	Italian	French	French (fprint)	Korean	German (Andreas)	German (Erik)	Spanish	Portuguese	Portuguese (Brazil)	Swedish	Danish	Polish	Dutch	Russian	Japanese	Thai	Greek	Turkish	Arabic	Persian	Hindi	German (CEI)	Punjabi	Czech Language	Finnish	Japanese
dialogs.headNotRecognisedMessage1	The head attached to				la tête est attaché a																				Der angebrachte Druckkopf an		Hlava připojená k		
dialogs.headNotRecognisedMessage2	cannot be used with this version of				Ne peu pas être utilisé avec cette version de																				kann nicht verwendet werden mit dieser Version von 		nemůže být použit s touto verzí		
dialogs.headRepairTitle	Head reset required				Remise a zero de la tête requise																				Zurücksetzen des Druckkopfes erforderlich		Hlavu je nutné resetovat		
dialogs.headRepairHeader	The data on your head cannot be read and must be reset to defaults.				Les donnés de vos têtes ne peuvent être lu est doivent être remise a zero par défaut.																				Die Daten auf Ihrem Druckkopf können nicht gelesen werden und müssen auf Standardwerte zurückgesetzt werden.		Údaje na hlavě nelze přečíst a musí se nastavit resetováním výchozí hodnoty		
dialogs.headRepairInstruction	Choose a head:				Choisir tête																				Wählen Sie einen Druckkopf:		Vyberet hlavu:		
dialogs.head																													
dialogs.headUpdateCalibrationNo	No don't calibrate the head	不要校准打印头	否, 不要校正打印頭		Ne pas calibrer la tête		아니오. 헤드가 측정되지 않습니다.	Druckkopf nicht kalibrieren 		No			Nej, kalibrera inte skrivhuvudet				Калибровать головку не надо	いいえ、ヘッドをキャリブレートしないでください							Druckkopf nicht kalibrieren		Ne, hlavu nekalibrujte	Ei, älä kalibroi tulostuspäätä	いいえ、ヘッドをキャリブレートしないでください
dialogs.headUpdateCalibrationRequiredInstruction	The configuration of the attached head has been automatically updated.	该连接的打印头配置已被自动更新。	打印頭參數已經自動更新		La configuration de la tête attaché a été mise a jour automatiquement		장착된 헤드의 구성은 자동으로 업데이트되었습니다.	Die Konfiguration des angeschlossenen Druckkopfs wurde automatisch aktualisiert.		No se encontró SD card.\n1. Apague y desconecte Robox\n2. Inserte micro SD card\n3. Vuelva a encender Robox y reconéctela			Det anslutna skrivhuvudets inställningar har uppdaterats automatiskt.				Конфигурация прикрепленной головки автоматически обновилась.	装着されているヘッドの構成は自動的にアップデートされました							Die Konfiguration des angeschlossenen Druckkopfs wurde automatisch aktualisiert.		Konfigurace připojené hlavy byla automaticky aktualizována.	Kiinnitetyn tulostuspään asetukset on päivitetty automaattisesti.	装着されているヘッドの構成は自動的にアップデートされました
dialogs.headUpdateCalibrationRequiredTitle	Head parameters updated	打印头参数更新	打印頭參數已經自動更新		Paramètres de la tete tête mise a jour		헤드 설정값 업데이트됨	Druckkopfparameter aktualisiert		OK - Ya he hecho eso			Skrivhuvudets parametrar uppdaterade				Параметры головки обновились	ヘッドのパラメーターはアップデートされました							Druckkopfparameter aktualisiert		Parametry hlavy aktualizovány	Tulostuspään parametrit päivitetty	ヘッドのパラメーターはアップデートされました
dialogs.headUpdateCalibrationYes	Calibrate now (recommended)	现在校准（推荐）	現在校正(建議)		Commencer la calibration (recomendé)		측정 시작 (권장사항).	Jetzt kalibrieren (empfohlen)		SD card ausente			Kalibrera nu (rekommenderas)				Откалибруйте сейчас (рекомендуется)	今キャリブレートして下さい（推奨）							Jetzt kalibrieren (empfohlen)		Kalibrovat nyní (doporučeno)	Kalibroi nyt (suositellaan)	今キャリブレートして下さい（推奨）
dialogs.lessThanOneMinute	< 1 minute	少于1分钟	<1分鐘		< 1 minute		<1분	< 1 Minute		OK			<1 minut				< 1 минуты	＜１分							< 1 Minute		< 1 minuta	< 1 minuutti	＜１分
dialogs.loadModelTitle	Load model	导入模型	導入模型	Carica modello	Charger un modèle		로드 모델	Modell laden	Modell laden	No abra la tapa	Carregar modelo	Carregar modelo	Ladda modell			Laad model	Загрузить модель	モデルを搭載して下さい							Modell laden		Načíst model	Lataa malli	モデルを搭載して下さい
dialogs.meshFileChooserDescription	Mesh file	网格文件	網狀化文件		Fichier d’engrenage		메시 파일	Mesh-Datei		Enfríe y abra la tapa			Mesh-fil				Файл сетки	メッシュファイル							Mesh-Datei		Mesh soubor	Mesh-tiedosto	メッシュファイル
dialogs.modelFileChooser	Select a model	选择模型	選擇模型	Seleziona un modello	Sélectionner un modèle		모델 선택	Ein Modell auswählen	Wählen Sie ein Modell	Todos los trabajos de impresión serán cancelados	Selecionar o modelo	Selecionar o modelo	Välj en modell			Kies een model	Выбор модели	モデル選択							Ein Modell auswählen		Vybrat model	Valitse malli	モデル選択
dialogs.modelFileChooserDescription	Model file	模型文档	模型檔案	File modello	Fichier du modèle		모델 파일	Modell-Datei	Modell Datei	La cama de impresión está muy caliente para permitir que la puerta se abierta inmediatamente.	Ficheiro do modelo a imprimir	Arquivo do modelo	Modellfil			Model bestand	Файл модели	モデルファイル							Modell-Datei		Soubor modelu	Malli-tiedosto	モデルファイル
dialogs.ModelTooLargeDescription	The model you are loading is too large for the print area and must be resized to fit.	你导入的模型尺寸过大，请缩小后重新导入	你載入的模型尺寸過大，超出列印範圍，請重新調整尺寸。	Il modello che stai caricando è troppo grande per l'area di stampa e deve essere ridimensionato per adattarsi a questa.	Le modèle en cours de chargement est trop grand par rapport à la zone d'impression et doit être redimensionné en conséquence.		로딩 중인 모델은 프린트하기에 너무 크므로 적절한 크기로 조절해야 합니다.	Das Modell, das Sie laden, ist zu groß für den Druckbereich und muss entsprechend der Größe angepasst werden.	Das geladene Modell ist zu groß für den Druckbereich und muss an diesen angepasst werden.	Tapa abierta - cama de impresió caliente	O modelo que está a carregar é demasiado grande para a área de impressão, pelo que deve ser redimensionado.	O modelo que está sendo carregado é muito grande para a área de impressão, e deve ser redimensionado	Modellen du försöker ladda är för stor för skrivarytan och måste anpassas för att få plats.			Het geladen model is te groot voor het printoppervlak, maak het passend.	Загружаемая модель слишком велика для области печати и должна быть изменена.	ローディングしているモデルはプリントするのに大き過ぎなので、サイズを小さくして合わせなければなりません							Das Modell, das Sie laden, ist zu groß für den Druckbereich und muss entsprechend der Größe angepasst werden.		Načítaný model je pro stavební prostor příliš velký a musí být zmenšen.	Lataamasi malli on liian iso tulostusalueelle ja täytyy muuttaa sopivaksi.	ローディングしているモデルはプリントするのに大き過ぎなので、サイズを小さくして合わせなければなりません
dialogs.ModelTooLargeNo	No - do not load the model	模型导入失败	否, 不要載入模型	No - non caricare il modello	Non - ne pas charger le modèle		모델을 로딩하지 않습니다.	Nein - Modell nicht laden	Nein - das Modell nicht laden.	Desea terminar los trabajos de impresión?	Não - modelo não carregado	Não - modelo não carregado	Nej - ladda inte modellen			Nee - het model niet laden	Нет, не загружайте модель	No - モデルを搭載しないで下さい							Nein - Modell nicht laden		Ne - nenačítejte model	Ei - älä lataa mallia	No - モデルを搭載しないで下さい
dialogs.ModelTooLargeTitle	Model too large	模型尺寸过大	模型尺寸過大	Modello troppo grande	Modèle trop grand		모델이 너무 큽니다.	Modell ist zu groß	Modell zu groß	Los trabajos de impresión están siendo transferidos a la impresora	Modelo muito grande	Modelo muito grande	Modell för stor			Model te groot	Модель слишком большая	モデルが大きすぎです							Modell ist zu groß		Model je příliš velký	Malli liian iso	モデルが大きすぎです
dialogs.no	No	否	否		Non		아니오.	Nein		Remantes			Nej				Нет	いいえ							Nein		Ne	Ei	いいえ
dialogs.noSDCardMessage	The SD card is missing.\n1. Switch off and disconnect Robox\n2. Insert a micro SD card\n3. Switch Robox back on and reconnect it	无法找到SD卡。\n1.关闭软件和ROBOX，\n2.插入SD卡，\n3.重启连接ROBOX	無法找到SD卡。\n1關閉軟體和中斷連接Robox\n2插入SD卡\n3重新連接Robox並開啟。	La scheda SD manca.\n1. Spegnere e scollegare Robox\n2. Inserire una microscheda SD\n3. Riaccendere Robox e ricollegarlo	La carte SD est manquante.\n1. Éteignez et déconnectez Robox\n2. Insérez une micro-carte SD\n3. Rallumez et reconnectez Robox		SD 카드 미장착.1. 스위치를 끄고 Robox를 연결해제합니다. 2. 마이크로 SD 카드를 삽입합니다.3. Robox를 다시 켜서 이것을 재연결합니다.	SD-Card fehlt.\n1. Ausschalten und Robox trennen.\n2. Mikro-SD-Card einlegen.\n3. Robox wieder anschalten und anschließen.	Die SD-Karte fehlt.\n1.Robox auschalten und die Verbindung trennen.\n2. Eine micro-SD Karte einlegen.\n3\. Robox wieder einschalten und verbinden.	Capas	Cartão SD em falta.\n1. Desligar e desconectar a Robox\n2. Insira o cartão micro SD\n3. Ligar e conectar a Robox	Cartão SD em falta.\n1. Desligar e desconectar a Robox\n2. Inserir o cartão micro SD\n3. Ligar e conectar a Robox	SD kortet saknas.\n1. Stäng av och koppla ifrån Robox\n2. Sätt i ett SD kort\n3. Slå på Robox och återanslut			De SD kaart ontbreekt.\n1. Zet uit en ontkoppel Robox.\n2 Plaats een micro SD kaart.\n3. Zet Robox weer aan verbind opnieuw	Карта SD не найдена. \n1. Выключите и отсоедините ROBOX\n2. Вставьте карту micro SD\ n3. Подсоедините и включите ROBOX	SDカードがありません。.\n1. スイッチをオフにしRoboxの電源を外して下さい。\n2. マイクロSDカードを差し込んで下さい。\n3. Switch Roboxのスイッチをオンに戻し、電源を再接続して下さい。							SD-Card fehlt.\n1. Ausschalten und Robox trennen.\n2. Mikro-SD-Card einlegen.\n3. Robox wieder anschalten und anschließen.		Chybí SD karta.\n1. Tiskárnu Robox vypněte a odpojte\n2. Vložte kartu microSD\n3. Zapněte tiskárnu Robox a znovu ji připojte	SD-kortti puuttuu.\n1. Sammuta ja kytke irti Robox\n2. Asenna microSD-kortti\n3. Kytke ja käynnistä Robox uudelleen	SDカードがありません。.\n1. スイッチをオフにしRoboxの電源を外して下さい。\n2. マイクロSDカードを差し込んで下さい。\n3. Switch Roboxのスイッチをオンに戻し、電源を再接続して下さい。
dialogs.noSDCardOK	OK - I've done that	好，已完成	好，已完成	OK - Fatto	OK - C'est fait		OK - 완료됨.	OK - erledigt	OK – Das habe ich gemacht.	Selecciona un proyecto de Automaker	OK - Operação realizada	OK - Operação realizada	OK - Jag har gjort det			OK - is gedaan	ОК, это сделано	OK - それは終わってます							OK - erledigt		OK - hotovo	OK - Olen tehnyt sen	OK - それは終わってます
dialogs.noSDCardTitle	No SD card	无SD卡	無SD卡	Nessuna scheda SD	Pas de carte SD		SD 카드 없음	Keine SD-Card	Keine SD-Karte	Archivo Robox	Cartão SD ausente	Cartão SD ausente	Inget SD kort			Geen SD kaart	Нет карты памяти SD	SDカード無し							Keine SD-Card		SD karta chybí	Ei SD-korttia	SDカード無し
dialogs.OK	OK	成功	成功	OK	OK		OK	OK	OK	La temperatura de los filamentos cargados, difiere del filamento anterior	OK	OK	OK			OK	ОК	OK							OK		OK	OK	OK
dialogs.openLidPrinterHotDontOpenHeading	Don't open the lid	请不要打开盖子	請勿打開機門		Ne pas ouvrir le couvercle		뚜껑을 열지 마십시오.	Deckel nicht öffnen		Purga de material requerido			Öppna inte luckan				Не открывайте крышку	扉を開けないで下さい							Deckel nicht öffnen		Neotvírejte víko	Älä avaa luukkua	扉を開けないで下さい
dialogs.openLidPrinterHotGoAheadHeading	Cool down and open the lid	冷却，然後打开盖子	冷卻後開門		Refroidir et ouvrir le couvercle		냉각시킨 후 커버를 여십시오.	Abkühlen lassen und Deckel öffnen		Error de tarjeta SD - remplazar la tarjeta si esto persiste			Öppna luckan och låt svalna				Охладите и откройте крышку	冷やして扉を開けて下さい							Abkühlen lassen und Deckel öffnen		Nechte vychladnout a otevřete víko	Avaa luukku ja anna jäähtyä	冷やして扉を開けて下さい
dialogs.openLidPrinterHotGoAheadInfo	All print jobs will be cancelled.	所有的打印工作将被取消。	所有的列印工作將被取消。		Tous les travaux d’impressions vont être annulé		모든 프린트 작업이 취소됩니다.	Alle Druckjobs werden abgebrochen.		Modelo reducido			Alla utskriftsjobb avbryts.				Все задания принтера будут отменены.	印刷作業は全てキャンセルされます。							Alle Druckjobs werden abgebrochen.		Všechny tiskové úlohy budou zrušeny.	Kaikki tulosutustyöt peruutetaan.	印刷作業は全てキャンセルされます。
dialogs.openLidPrinterHotInfo	The print bed is too hot to allow the door to be opened immediately.	打印床太热，以致不能让门立即打开。	打印床太熱，不允許立即打開機門。		Le châssis d’impression est trop chaude pour permettre l’ouverture de la porte.		프린트 베드가 너무 뜨거워서 도어를 즉각 개방할 수 없습니다.	Das Druckbett ist zu heiß, um die Tür sofort zu öffnen.		Trabajos de impresión incompletos puedes resultar			Bädden för het, luckan kan inte öppnas omedelbart.				Слишком горячая платформа, нельзя немедленно открыть крышку	印刷台は非常に熱いのですぐに開けないで下さい。							Das Druckbett ist zu heiß, um die Tür sofort zu öffnen.		Stavební podložka je příliš horká, takže není možné dvířka hned otevřít.	Rakennusalusta liian kuuma, luukkua ei voida avata välittömästi.	印刷台は非常に熱いのですぐに開けないで下さい。
dialogs.openLidPrinterHotTitle	Lid open - print bed hot	保护盖已打开 - 打印床高热	機門打開 - 打印床已熱		Couvercle ouvert -  Châssis d’impression chaude		커버 개방 - 프린트 베드 고온상태	Deckel offen - Druckbett heiß		Apagar sin trabajos de impresión terminados			Luckan öppen - bädden het				Открыта крышка, платформа горячая	扉は開いています‐印刷台は熱いです　							Deckel offen - Druckbett heiß		Víko otevřeno - horká stavební podložka	Luukku auki - rakennusalusta kuuma	扉は開いています‐印刷台は熱いです　
dialogs.printJobsAreStillTransferringMessage	Do you wish to terminate the print jobs?	你想终止打印工作？	你打算終止打印工作嗎？		Voulez vous terminer l’impression?		프린트 작업 종료를 원하십니까?	Möchten Sie die Druckjobs beenden?		Terminar los trabajos de impresión y apagar			Vill du avbryta utskriftsjobben?				Вы хотите отменить задания на печать?	印刷を終了したいですか？							Möchten Sie die Druckjobs beenden?		Chcete ukončit tiskové úlohy?	Haluatko lopettaa tulostustyöt?	印刷を終了したいですか？
dialogs.printJobsAreStillTransferringTitle	Print jobs are being transferred to the printer	打印工作正在转移到打印机	打印工作被轉移到打印機		Travaux d’impression en cours de transfer vers l’imprimante		프린트 작업을 프린터로 전송 중입니다.	Druckjobs werden zum Drucker übertragen		Terminar los trabajos de impresión y apagar			Utskriftsjobben överförs till skrivaren				Задания на печать отправляются на принтер	印刷作業はプリンターに転送されました							Druckjobs werden zum Drucker übertragen		Tiskové úlohy jsou přenášeny do tiskárny	Tulostustöitä siirretään tulostimelle	印刷作業はプリンターに転送されました
dialogs.progressETCLabel	Remaining	余下	剩餘		Restant		잔여	Übrig		Cabezal sin formato			Återstår				Оставшееся	残り							Übrig		Zbývá	Jäljellä	残り
dialogs.progressLayerLabel	Layer	层	層		Couche		층	Schicht		Cabezal sin formato detectado			Lager				Уровень	層							Schicht		Vrstva	Kerros	層
dialogs.projectFileChooser	Select an AutoMaker project	选择相应的Automaker项目	選擇Automaker專案	Seleziona un progetto AutoMaker	Sélectionner un projet AutoMaker		오토메이커 프로젝트를 선택합니다.	AutoMaker-Projekt auswählen	Wählen Sie ein AutoMaker-Projekt	Verificando versión de la aplicación	Selecione um projecto	Selecione um projeto do AutoMaker	Välj ett AutoMaker projekt			Kies een Automaker project	Выберите проект AutoMaker	AutoMakerのモデルを選択して下さい							AutoMaker-Projekt auswählen		Vybrat projekt AutoMaker	Valitse AutoMaker-projekti	AutoMakerのモデルを選択して下さい
dialogs.projectFileChooserDescription	Robox File	ROBOX文档	Robox檔案	File Robox	Fichier Robox		Robox 파일	Robox-Datei	Robox Datei	Una nueva versión de	Ficheiro Robox	Arquivo Robox	Roboxfil			Robox bestand	Файл Robox	Robox ファイル							Robox-Datei		Soubor Robox	Robox-tiedosto	Robox ファイル
dialogs.purgeRequiredInstruction	Material change detected	加载的材料温度不同于以往的材料	載入的膠線耗材溫度有別于以往的膠線耗材		La temperature du filament chargé est differente du filament precedent		로딩된 필라멘트 온도는 이전의 필라멘트와 상이합니다.	Temperatur des geladenen Filaments unterscheidet sich von der des vorherigen Filaments.		\ está disponbile. \n Desea actualizar ahora?			Det installerade filamentets temperatur avviker från det förra filamentet				Температура загруженной нити отличается от температуры предыдущей нити	装着したフィラメントの温度は前のフィラメントと異なります							Temperatur des geladenen Filaments unterscheidet sich von der des vorherigen Filaments.		Nahrané teploty pro strunu se liší od předchozí	Asennetun filamentin lämpötila eroaa edellisestä filamentista	装着したフィラメントの温度は前のフィラメントと異なります
dialogs.purgeRequiredTitle	Material purge required	需要清理材料	有需要清除物料		Purge de la matière requise		소재 퍼지가 필요함	Materialreinigung erforderlich		No hay actualizaciones disponibles para esta versión de 			Rengöring av materialet krävs				Требуется продувка материала	材料の排出が必要です							Materialreinigung erforderlich		Nutné pročištění materiálu	Materiaalin puhdistus vaaditaan	材料の排出が必要です
dialogs.reelNotRecognisedTitle	Reel type not recognised				Type de tête non reconnue																				Druckkopftyp nicht erkannt				
dialogs.reelNotRecognisedMessage1	The reel attached to				la tête est attaché a																				Der angebrachte Druckkopf an				
dialogs.reelNotRecognisedMessage2	cannot be used with this version of				Ne peu pas être utilisé avec cette version de																				kann nicht verwendet werden mit dieser Version von 				
dialogs.sdCardError	SD card error - replace the card if this persists	SD卡错误-如果问题依然存在请更换卡	SD卡故障 - 若情況持續請更換SD卡		Erreur carte SD - remplacer la carte si le problème persiste		SD 카드 오류 - 오류가 지속되는 경우 카드를 교체합니다.	SD-Card-Fehler – Karte ersetzen, wenn dieses Problem weiterhin besteht		Está utilizando la versión más actualizada de			Fel i SD-kortet - byt ut kortet om felet kvarstår				Ошибка карты памяти SD. Смените карту памяти, если ошибка повторяется.	SDカードエラー　-　カードを交換して下さい							SD-Card-Fehler – Karte ersetzen, wenn dieses Problem weiterhin besteht		Chyba SD karty - pokud přetrvává, kartu vyměňte	SD-kortin virhe - vaihda kortti mikäli ongelma jatkuu	SDカードエラー　-　カードを交換して下さい
dialogs.ShrinkModelToFit	Shrink model	缩小模型	縮小模型		Rétrécir le modele		모델 축소	Modell verkleinern		Actualización de la aplicación			Minska modellen				Термоусадочная модель	モデルを縮小して下さい							Modell verkleinern		Zmenšit model	Pienennä mallia	モデルを縮小して下さい
dialogs.shutDownAndDontTerminateMessage	Incomplete print jobs may result	可能会导致打印工作的不完整	可能會導致不完整的打印工作		Les travaux d’impression non finit peuvent resulter		프린트 작업이 완료되지 않을 수 있습니다.	Kann zu unvollendeten Druckjobs führen		Continuar utilizando versión actual			Kan leda till ofullständiga utskriftsjobb				Незавершенные задания на печать могут привести	不完全な印刷作業の結果です							Kann zu unvollendeten Druckjobs führen		Může to mít za následek nedokončenou tiskovou úlohu	Saattaa johtaa epätäydellisiin tulostustöihin	不完全な印刷作業の結果です
dialogs.shutDownAndDontTerminateTitle	Shut down without terminating print jobs	关闭但不终止打印工作	關閉及不終止列印工作		Atteindre sans finir les travaux d’impression		프린트 작업을 종료하지 않고 PC를 종료합니다.	Herunterfahren, ohne Druckjobs zu beenden		Comenzar proceso de actualización			Stäng av utan att avsluta utskriftsjobben				Выключите без завершения заданий на печать	印刷作業を終了しないでシャットダウンして下さい							Herunterfahren, ohne Druckjobs zu beenden		Vypnout bez ukončení tiskové úlohy	Sammuta lopettamatta tulostustöitä	印刷作業を終了しないでシャットダウンして下さい
dialogs.shutDownAndTerminateMessage	Terminate the print jobs and shut down	终止打印工作并关机	終止列印工作並關閉		Finir les travaux d’impression et etteindre		프린트 작업을 종료한 후 PC를 종료합니다.	Druckjobs beenden und herunterfahren		No es posible verificar si existe una nueva versión			Avsluta utskriftsjobben och stäng av				Завершите задания на печать и выключите	印刷作業を終了しシャットダウンして下さい							Druckjobs beenden und herunterfahren		Ukončit tiskovou úlohu a vypnout	Lopeta tulostustyöt ja sammuta	印刷作業を終了しシャットダウンして下さい
dialogs.shutDownAndTerminateTitle	Terminate the print jobs and shut down	终止打印工作并关机	終止列印工作並關閉		Finir les travaux d’impression et etteindre		프린트 작업을 종료한 후 PC를 종료합니다.	Druckjobs beenden und herunterfahren		Si			Avsluta utskriftsjobben och stäng av				Завершите задания на печать и выключите	印刷作業を終了しシャットダウンして下さい							Druckjobs beenden und herunterfahren		Ukončit tiskovou úlohu a vypnout	Lopeta tulostustyöt ja sammuta	印刷作業を終了しシャットダウンして下さい
dialogs.unformattedHead	Unformatted Head	未格式化的打印头	打印頭未格式化		Mauvais format de tête		포멧 안된 헤드	Unformatierter Druckkopf		Error de EEPROM			Oformaterat skrivhuvud				Неотформатированная головка								Unformatierter Druckkopf		Nenaformátovaná hlava	Alustamaton tulostuspää	フォーマットされていないヘッド
dialogs.unformattedHeadDetected	Unformatted Head Detected	侦测到未格式化的打印头	檢測到打印頭未格式化		Mauvais format de tête détecté		포멧 안된 헤드 검색됨	Unformatierten Druckkopf entdeckt		Error leyendo de cabezal EEPROM			Oformaterat skrivhuvud upptäckt				Обнаружена неотформатированная головка								Unformatierten Druckkopf entdeckt		Zjištěna nenaformátovaná hlava	Alustamaton tulostuspää havaittu	ヘッドがフォーマットされていません
dialogs.updateAboutToUpdate	Checking application version	检查应用版本	軟件版本檢查中		Versification de la version de l’application		어플리케이션 버전 체크	Version der Anwendung überprüfen		Error escribiendo en cabezal EEPROM			Kontrollerar programversion				Проверка версии приложения	アプリケーションのバージョンをチェック中							Version der Anwendung überprüfen		Kontrola verze aplikace	Tarkistetaan sovelluksen versio	アプリケーションのバージョンをチェック中
dialogs.updateApplicationMessagePart1	A new version of  	一个新的版本	有新版本		Une nouvelle version de		최신 버전	Eine neue Version von		Error leyendo del reel EEPROM			En ny version				Новая версия	　　　の新しいバージョン							Eine neue Version von		Nová verze	Uusi versio	　　　の新しいバージョン
dialogs.updateApplicationMessagePart2	\ is available.\nWould you like to upgrade now?	发现\ 。\您想要现在升级吗？	\可用\n想要現在更新嗎?		Est disponible voulez vous metre a jour maintenant		사용 가능합니다. 이제 업그레이드를 하시겠습니까?	\ ist verfügbar.\nMöchten Sie jetzt hochstufen?		Error escribiendo en reel EEPROM			\ finns tillgängligt.\nVill du uppdatera nu?				\ доступно.\nХотите обновить сейчас?	\ が利用可能です。\n今アップグレードしたいですか?							\ ist verfügbar.\nMöchten Sie jetzt hochstufen?		\ je k dispozici.\nChcete nyní provést upgrade?	\ on saatavilla.\nHaluatko päivittää nyt?	\ が利用可能です。\n今アップグレードしたいですか?
dialogs.updateApplicationNotAvailableForThisRelease	An update is not available for this release of 	更新並不适用于此批号的	沒有可更新此版本的		mise a jour non disponible pour cette version de		이 진행에 대해 업데이트를 할 수 없습니다.	Es gibt keine Aktualisierung für diese Ausgabe von		Deslizamiento del Extrusor 1			En uppdatering är inte tillgänglig för den här versionen av				Обновление не доступно для данного выпуска	　のリリースのアップデートは利用できません							Es gibt keine Aktualisierung für diese Ausgabe von		Není k dispozici aktualizace pro tuto verzi	Päivitystä ei ole saatavilla tälle julkaisulle	　のリリースのアップデートは利用できません
dialogs.updateApplicationNotRequired	You are using the most up to date version of 	你使用的是最新版本的	你已經正在使用最新版本的		Vous utilisez la dernière mise a jour		…의 최신 버전을 이용 중입니다.	Sie nutzen die aktuellste Version von		Deslizamiento del Extrusor 2			Du använder den nyaste versionen av				Вы используете самую последнюю версию	　あなたは　　の最新アップデート版を使用しています							Sie nutzen die aktuellste Version von		Používáte nejaktuálnější verzi	Käytät uusinta versiota	　あなたは　　の最新アップデート版を使用しています
dialogs.updateApplicationTitle	Application update	应用程序更新	程式更新		Application mise a jour		애플리케이션 업데이트	Anwendungsaktualisierung		Contra-retracción automática			Programuppdatering				Обновление приложения	アプリケーションのアップデート							Anwendungsaktualisierung		Aktualizace aplikace	Sovelluspäivitys	アプリケーションのアップデート
dialogs.updateContinueWithCurrent	Continue using current version	继续使用当前版本	繼續使用現有版本		Continuer avec cette version		현재 버전을 이용하여 계속합니다.	Weiterhin gegenwärtige Version nutzen		Ancho de bordes			Fortsätt med nuvarande version				Продолжить использование текущей версии	現在のバージョンを継続してお使い下さい							Weiterhin gegenwärtige Version nutzen		Nadále používat aktuální verzi	Jatka nykyisellä versiolla	現在のバージョンを継続してお使い下さい
dialogs.updateExplanation	Start the upgrade process	在开始升级过程	開始更新程序		Démarrer la mise a jour		업그레이드 프로세스를 시작합니다.	Hochstufungsprozess starten		Fijación automática			Starta uppdateringsprocessen				Начало процедуры обновления	アップデートプロセスを開始して下さい							Hochstufungsprozess starten		Zahájit proces upgrade	Käynnistä päivitysprosessi	アップデートプロセスを開始して下さい
dialogs.updateFailedToContact	Unable to check for new version	无法检查新版本	未能檢查更新版本		Impossible de verifier la nouvelle version		새 버전을 체크할 수 없음	Es konnte nicht überprüft werden, ob eine neue Version vorliegt.		Fijar si el tiempo de capa es menor			Gick inte att söka efter ny version				Невозможно проверить наличие новой версии	新しいバージョンをチェックすることができません							Es konnte nicht überprüft werden, ob eine neue Version vorliegt.		Nelze zjistit novou verzi	Uutta versiota ei voitu tarkistaa	新しいバージョンをチェックすることができません
dialogs.yes	Yes	是	是		oui		Yes	Ja		Multiplicador de extrusor			Ja				Да	はい							Ja		Ano	Kyllä	はい
eeprom.error	EEPROM error	EEPROM 错误	數據線路板失效		Erreur EEPROM		EEPROM 오류	EEPROM-Fehler		Ancho de extrusor			EEPROM-fel				Ошибка EEPROM								EEPROM-Fehler		Chyba EEPROM	EEPROM-virhe	EEPROMエラー
eeprom.headReadError	Error reading from head EEPROM	读取打印头EEPROM时发生错误	未能讀取打印頭數據線路板		Erreur de lecture de la tête EEPROM		헤드 EEPROM에서 읽기 오류	Fehler beim Lesen vom Druckkopf-EEPROM		Densidad de relleno			Läsfel skrivhuvudets EEPROM				Ошибка чтения с головки EEPROM								Fehler beim Lesen vom Druckkopf-EEPROM		Chyba při čtení z paměti EEPROM hlavy	Lukuvirhe tulostuspään EEPROM	EEPROMからの読み込みに失敗しました
eeprom.headWriteError	Error writing to head EEPROM	写入打印头EEPROM时发生错误	未能寫入打印頭數據線路板		Erreur d’écriture de la tête EEPROM		헤드 EEPROM에 쓰기 오류	Fehler beim Schreiben auf den Druckkopf-EEPROM		Boquilla para rellenado			Skrivfel skrivhuvudets EEPROM				Ошибка записи на головку EEPROM								Fehler beim Schreiben auf den Druckkopf-EEPROM		Chyba při zápisu do paměti EEPROM hlavy	Kirjoitusvirhe tulostuspään EEPROM	EEPROMへの書き込みに失敗しました
eeprom.reelReadError	Error reading from reel EEPROM	读取线圈EEPROM时发生错误	未能讀取膠線耗材數據線路板		Erreur de lecture de la bobine EEPROM		릴 EEPROM에서 읽기 오류	Fehler beim Lesen vom Spulen-EEPROM		Patrón de relleno			Läsfel rullens EEPROM				Ошибка чтения с катушки EEPROM								Fehler beim Lesen vom Spulen-EEPROM		Chyba při čtení z paměti EEPROM cívky	Lukuvirhe kelan EEPROM	リールEEPROMからの読み込みに失敗しました
eeprom.reelWriteError	Error writing to reel EEPROM	写入线圈EEPROM时发生错误	未能寫入膠線耗材數據線路板		Erreur d’écriture de la bobine EEPROM		릴 EEPROM에 쓰기 오류	Fehler beim Schreiben auf den Spulen-EEPROM		Primera capa			Skrivfel rullens EEPROM				Ошибка записи на катушку EEPROM								Fehler beim Schreiben auf den Spulen-EEPROM		Chyba při zápisu do paměti EEPROM cívky	Kirjoitusvirhe kelan EEPROM	リールEEPROMへの書き込みに失敗しました
*T01	Disconnect your machine from USB and AC power. Check your USB cable is connected correctly.																												
*T02	If this error persists then revert to older version of firmware / AutoMaker.																												
*T03	Disconnect your machine from USB and AC power. Check that your SD card is present and seated correctly.																												
*T04	Robox has detected the amount of material passing through the extruder  is different to the expected. If your print seems normal then you can  clear this message and continue, or abort the current process and take  further actions. Please read the user manual for further steps to  resolve this.																												
*T05	Eject the filament then disconnect your Robox from USB and AC power.  Remove and reseat the printer head. If this error persists then consult  the user manual.																												
error.ERROR_SD_CARD	Firmware: SD card error				Micrologiciel: erreur de la carte SD																								
error.ERROR_SD_CARD.message	*T03 [OK]																												
